Fold,Epoch,Train_Loss,Train_Acc,Train_F1,Val_Loss,Val_Acc,Val_F1
3,45,0.5595,0.7888,0.7862,0.6206,0.7504,0.7428
3,46,0.5706,0.7809,0.7785,0.6951,0.7314,0.7181
3,47,0.5381,0.7931,0.7911,0.6147,0.763,0.7552
3,48,0.5396,0.7888,0.7871,0.7111,0.7125,0.6818
4,1,1.7599,0.2748,0.266,1.4248,0.376,0.2876
4,2,1.5442,0.3194,0.3006,1.3718,0.3728,0.3243
4,3,1.4369,0.3652,0.3393,1.2924,0.4329,0.3567
4,4,1.3455,0.4149,0.3911,1.2859,0.4613,0.3718
4,5,1.2965,0.4402,0.4207,1.1823,0.4976,0.4185
4,6,1.2377,0.4781,0.4576,1.1057,0.5766,0.557
4,7,1.1667,0.5045,0.4919,1.0977,0.5276,0.4692
4,8,1.1147,0.527,0.5155,0.9926,0.624,0.5975
4,9,1.054,0.557,0.5471,0.9786,0.6619,0.6415
4,10,1.0117,0.5728,0.5631,0.9719,0.6714,0.6538
4,11,0.968,0.6068,0.5993,0.9026,0.6888,0.6733
4,12,0.9563,0.5989,0.5914,0.8615,0.6998,0.6859
4,13,0.8952,0.6368,0.6289,0.824,0.7314,0.7204
4,14,0.8799,0.6407,0.6348,0.817,0.7188,0.709
4,15,0.8518,0.6601,0.6536,0.8247,0.7156,0.7028
4,16,0.8354,0.6601,0.6543,0.8118,0.7235,0.7119
4,17,0.8104,0.6779,0.6732,0.7857,0.7204,0.7074
4,18,0.7949,0.6786,0.673,0.746,0.7441,0.7321
4,19,0.7763,0.6885,0.684,0.7556,0.7267,0.7244
4,20,0.7832,0.6897,0.6857,0.7454,0.7346,0.725
4,21,0.7606,0.6964,0.6916,0.7413,0.7077,0.687
4,22,0.719,0.726,0.7226,0.7134,0.7378,0.7242
4,23,0.7357,0.7098,0.706,0.7031,0.7425,0.7233
4,24,0.7077,0.7359,0.7331,0.7049,0.7488,0.7379
4,25,0.6753,0.7383,0.7342,0.7016,0.7299,0.7129
4,26,0.7004,0.7169,0.713,0.6994,0.7599,0.7565
4,27,0.6659,0.7308,0.7277,0.7013,0.7299,0.7149
4,28,0.6682,0.7351,0.7317,0.6515,0.7504,0.7393
4,29,0.6627,0.7477,0.7446,0.6736,0.7709,0.7609
4,30,0.6427,0.7438,0.7413,0.7132,0.733,0.7058
4,31,0.6357,0.7568,0.7535,0.6265,0.7725,0.7677
4,32,0.6155,0.7509,0.7481,0.5914,0.7836,0.7683
4,33,0.6196,0.7643,0.7616,0.6441,0.7852,0.7719
4,34,0.6338,0.7584,0.756,0.6336,0.7804,0.7648
4,35,0.5856,0.7655,0.7629,0.6289,0.8025,0.7919
4,36,0.6107,0.7698,0.7675,0.7048,0.7188,0.7018
4,37,0.5709,0.7789,0.7768,0.5928,0.7994,0.7967
4,38,0.5713,0.7769,0.7748,0.6491,0.7725,0.7597
4,39,0.5776,0.7742,0.7713,0.5934,0.7852,0.7691
4,40,0.59,0.7671,0.7645,0.6401,0.7757,0.76
4,41,0.5835,0.7675,0.7643,0.6283,0.7709,0.7697
4,42,0.547,0.7991,0.7978,0.626,0.7709,0.764
4,43,0.5883,0.7734,0.7715,0.5886,0.7678,0.7586
4,44,0.5588,0.7777,0.7762,0.5833,0.7804,0.7696
4,45,0.5441,0.7864,0.784,0.6497,0.7472,0.7358
4,46,0.5423,0.786,0.7839,0.6017,0.7836,0.7764
4,47,0.5379,0.7916,0.7894,0.5684,0.7883,0.781
4,48,0.526,0.8042,0.8019,0.557,0.8152,0.8111
5,1,1.8488,0.2614,0.2546,1.4492,0.3728,0.2846
5,2,1.5616,0.3277,0.3105,1.3929,0.3618,0.2563
5,3,1.4794,0.3632,0.3413,1.4164,0.3586,0.2456
5,4,1.4077,0.3829,0.3577,1.2276,0.4992,0.4324
5,5,1.3329,0.4098,0.3888,1.1866,0.4566,0.326
5,6,1.2542,0.4544,0.4331,1.1314,0.5039,0.4675
5,7,1.1942,0.4781,0.4627,1.0581,0.5419,0.5044
5,8,1.1296,0.5184,0.5043,1.1016,0.5561,0.5195
5,9,1.083,0.5452,0.534,1.0369,0.5972,0.5623
5,10,1.0305,0.5598,0.5493,0.917,0.6603,0.6463
5,11,0.9974,0.591,0.5798,0.8993,0.6556,0.6462
5,12,0.9404,0.619,0.6096,0.9204,0.6114,0.5732
5,13,0.9016,0.6309,0.6226,0.8324,0.7062,0.6969
5,14,0.8912,0.6321,0.6232,0.8778,0.6603,0.6509
5,15,0.8493,0.6625,0.6538,0.776,0.7251,0.7209
5,16,0.8141,0.6735,0.667,0.7273,0.7441,0.7404
5,17,0.7895,0.6842,0.6789,0.7293,0.722,0.7099
5,18,0.7691,0.6952,0.6889,0.7696,0.7109,0.7069
5,19,0.764,0.696,0.6916,0.7202,0.7536,0.7487
5,20,0.7442,0.7004,0.6945,0.6896,0.7583,0.7487
5,21,0.7313,0.711,0.7062,0.698,0.7773,0.7731
5,22,0.6822,0.7272,0.7227,0.6714,0.7646,0.7604
5,23,0.6815,0.7185,0.7133,0.6551,0.7709,0.7617
5,24,0.6747,0.7355,0.7312,0.675,0.7694,0.7606
5,25,0.6796,0.728,0.7245,0.7233,0.7125,0.7016
5,26,0.6544,0.7426,0.7392,0.639,0.7709,0.7584
5,27,0.6376,0.756,0.7516,0.6442,0.7567,0.7482
5,28,0.6334,0.7537,0.7509,0.6301,0.782,0.7762
5,29,0.6295,0.7513,0.7488,0.6133,0.7946,0.7895
5,30,0.6142,0.7635,0.761,0.6346,0.7804,0.7768
5,31,0.6076,0.7659,0.7616,0.6874,0.7393,0.7276
5,32,0.6001,0.7722,0.7694,0.5926,0.7978,0.7952
5,33,0.594,0.775,0.7721,0.551,0.8057,0.8017
5,34,0.6066,0.7671,0.7639,0.5713,0.7978,0.7894
5,35,0.5778,0.7663,0.7625,0.5835,0.8104,0.8065
5,36,0.554,0.7904,0.7886,0.5896,0.8009,0.793
5,37,0.5699,0.786,0.7836,0.5446,0.8009,0.7935
5,38,0.5615,0.7841,0.7818,0.5496,0.8088,0.8041
5,39,0.558,0.7856,0.7825,0.5715,0.782,0.7656
5,40,0.5418,0.7892,0.7872,0.5943,0.7709,0.7675
5,41,0.5415,0.7884,0.7859,0.555,0.7867,0.7778
5,42,0.5302,0.7959,0.7936,0.4885,0.8215,0.8188
5,43,0.5364,0.7912,0.7888,0.5217,0.7915,0.7865
5,44,0.5233,0.7998,0.7974,0.5497,0.8088,0.8038
5,45,0.5321,0.7939,0.7925,0.5301,0.8167,0.8154
5,46,0.5098,0.8058,0.8037,0.5034,0.8246,0.8202
5,47,0.522,0.7963,0.7944,0.5947,0.8041,0.7991
5,48,0.5141,0.7987,0.7968,0.4885,0.8262,0.8239
